,Gas consumption [Nm3],Electric consumption [Wh],Oil consumption [L],Wood consumption [kg]
2023-02-14 13:00:00,3808.471382820692,1061776.4142456767,187.4050643609875,0.0
2023-02-14 14:00:00,3754.826118702649,1056607.5975355732,184.73256124616015,0.0
2023-02-14 15:00:00,3769.7708527893606,994481.8711243658,185.43850085416466,0.0
2023-02-14 16:00:00,3862.5093588672944,1098780.130031883,189.83096729685286,0.0
2023-02-14 17:00:00,4013.644352885011,1240281.9435303928,197.17352459293556,0.0
2023-02-14 18:00:00,4178.02747523511,1255734.483623691,205.63040714180025,0.0
2023-02-14 19:00:00,4236.731094686556,1324785.1076848258,208.66125019727062,0.0
2023-02-14 20:00:00,4286.829228502029,1329367.189327978,211.22615032533275,0.0
2023-02-14 21:00:00,4310.994524993911,1331612.8426596557,212.5261499055128,0.0
2023-02-14 22:00:00,4364.417688203643,1177581.9917747984,215.3654185035878,0.0
2023-02-14 23:00:00,4422.924554443595,1183132.0855728376,218.50244757992942,0.0
2023-02-15 00:00:00,4492.893676441992,1030678.6374989572,222.22740657633736,0.0
2023-02-15 01:00:00,4546.625678336073,1035740.9841540654,225.1163615510121,0.0
2023-02-15 02:00:00,4602.057592585631,1040900.5284702346,228.05926218914328,0.0
2023-02-15 03:00:00,4649.696190318652,1045332.6263272758,230.61077731576339,0.0
2023-02-15 04:00:00,4715.16609986501,1051415.9346689477,234.07188816971703,0.0
2023-02-15 05:00:00,4799.685766459663,1059241.5718569274,238.49344516387436,0.0
2023-02-15 06:00:00,4902.437842746483,1163833.020208682,243.60520104446348,0.0
2023-02-15 07:00:00,4834.297964688918,1284941.9432348243,240.4473681313662,0.0
2023-02-15 08:00:00,4628.851863573614,1265061.9751413648,230.0867635939633,0.0
2023-02-15 09:00:00,4358.607799516539,1112038.561489777,216.3099078198509,0.0
2023-02-15 10:00:00,4132.475155628016,1027148.6085498765,204.57134094412686,0.0
2023-02-15 11:00:00,3918.4577388778553,1071453.5138014746,193.4496587773654,0.0
2023-02-15 12:00:00,3741.55666778756,1055827.9576791045,184.20458576330543,0.0
2023-02-15 13:00:00,3638.5236667428317,1046375.0579256358,178.81352345557502,0.0
2023-02-15 14:00:00,3588.0056056331127,1041391.5086273561,176.19363244819343,0.0
2023-02-15 15:00:00,3625.4812743947446,981163.1740168843,177.88004151169994,0.0
2023-02-15 16:00:00,3715.480328702128,1085261.7190237918,182.1187708247669,0.0
2023-02-15 17:00:00,3854.1532259868536,1225834.105118482,188.91953467839159,0.0
2023-02-15 18:00:00,4004.1677762712843,1240099.4999877703,196.70936502657537,0.0
2023-02-15 19:00:00,4085.3992429185064,1311181.6123395518,200.8158806433992,0.0
2023-02-15 20:00:00,4168.365703648375,1318755.0572278898,204.9897818864299,0.0
2023-02-15 21:00:00,4255.369939950238,1326636.5301151536,209.34159599087516,0.0
2023-02-15 22:00:00,4339.6592282471665,1175309.4973321084,213.64762448511095,0.0
2023-02-15 23:00:00,18.19473609193291,735490.87899519,0.8411993720915342,0.0
2023-02-16 00:00:00,18.19473609193291,576414.5716352786,0.8411993720915342,0.0
2023-02-16 01:00:00,18.19473609193291,576414.5716352786,0.8411993720915342,0.0
2023-02-16 02:00:00,18.19473609193291,576414.5716352786,0.8411993720915342,0.0
2023-02-16 03:00:00,18.19473609193291,576414.5716352786,0.8411993720915342,0.0
2023-02-16 04:00:00,18.19473609193291,576414.5716352786,0.8411993720915342,0.0
2023-02-16 05:00:00,18.19473609193291,576414.5716352786,0.8411993720915342,0.0
2023-02-16 06:00:00,23.006774947698773,671940.665510698,0.8411993720915342,0.0
2023-02-16 07:00:00,23.006774947698773,799201.7113986278,0.8411993720915342,0.0
2023-02-16 08:00:00,23.006774947698773,799201.7113986278,0.8411993720915342,0.0
2023-02-16 09:00:00,23.006774947698773,671940.665510698,0.8411993720915342,0.0
2023-02-16 10:00:00,23.006774947698773,608310.1425667334,0.8411993720915342,0.0
2023-02-16 11:00:00,23.006774947698773,671940.665510698,0.8411993720915342,0.0
2023-02-16 12:00:00,23.006774947698773,671940.665510698,0.8411993720915342,0.0
2023-02-16 13:00:00,23.006774947698773,671940.665510698,0.8411993720915342,0.0
2023-02-16 14:00:00,23.006774947698773,671940.665510698,0.8411993720915342,0.0
2023-02-16 15:00:00,23.006774947698773,608310.1425667334,0.8411993720915342,0.0
2023-02-16 16:00:00,23.006774947698773,703755.9269826802,0.8411993720915342,0.0
2023-02-16 17:00:00,23.006774947698773,831016.9728706101,0.8411993720915342,0.0
2023-02-16 18:00:00,18.19473609193291,830936.6634111371,0.8411993720915342,0.0
2023-02-16 19:00:00,18.19473609193291,894567.1863551022,0.8411993720915342,0.0
2023-02-16 20:00:00,18.19473609193291,894567.1863551022,0.8411993720915342,0.0
2023-02-16 21:00:00,18.19473609193291,894567.1863551022,0.8411993720915342,0.0
2023-02-16 22:00:00,18.19473609193291,735490.87899519,0.8411993720915342,0.0
2023-02-16 23:00:00,18.19473609193291,735490.87899519,0.8411993720915342,0.0
2023-02-17 00:00:00,18.19473609193291,564641.8512323898,0.8411993720915342,0.0
2023-02-17 01:00:00,18.19473609193291,564641.8512323898,0.8411993720915342,0.0
2023-02-17 02:00:00,18.19473609193291,564641.8512323898,0.8411993720915342,0.0
2023-02-17 03:00:00,18.19473609193291,564641.8512323898,0.8411993720915342,0.0
